pair_id,actor,statement,label_a,label_b,layer,AA,AB,BA,BB,ME_C,ME_D,interaction
a01_s2_neutral_angry,1,2,neutral,angry,17,-0.53125,-0.8906240463256836,-0.46875,-0.6875,-0.2890620231628418,0.1328120231628418,0.1406240463256836
a01_s2_neutral_angry,1,2,neutral,angry,18,1.03125,0.765625,1.171875,0.875,-0.28125,0.125,-0.03125
a01_s2_neutral_angry,1,2,neutral,angry,19,-0.109375,-0.375,-0.015625,-0.4687509536743164,-0.3593754768371582,-4.76837158203125e-07,-0.1875009536743164
a01_s2_neutral_angry,1,2,neutral,angry,20,-3.12451171875,-2.44921875,-3.208984375,-1.7109375,1.086669921875,0.326904296875,0.82275390625
a01_s2_neutral_angry,1,2,neutral,angry,21,-2.7109375,-2.0859375,-2.5546865463256836,-1.625,0.7773432731628418,0.3085942268371582,0.3046865463256836
a01_s2_neutral_angry,1,2,neutral,angry,22,-2.8828125,-2.2734375,-2.54296875,-1.6953125,0.728515625,0.458984375,0.23828125
a01_s2_neutral_angry,1,2,neutral,angry,23,-4.05078125,-3.89453125,-4.010804176330566,-3.1396484375,0.5137028694152832,0.3974299430847168,0.7149057388305664
a01_s2_neutral_angry,1,2,neutral,angry,24,-4.0078125,-5.40625,-4.578125,-4.265625,-0.54296875,0.28515625,1.7109375
a01_s2_neutral_angry,1,2,neutral,angry,25,-0.798828125,-2.2642898559570312,-1.46875,-1.783203125,-0.8899574279785156,-0.09441757202148438,1.1510086059570312
a01_s2_neutral_angry,1,2,neutral,angry,26,-2.31640625,-2.77734375,-3.123046875,-2.65625,0.0029296875,-0.3427734375,0.927734375
a01_s2_neutral_angry,1,2,neutral,angry,27,-0.5,-0.828125,-0.828125,-1.203125,-0.3515625,-0.3515625,-0.046875
a01_s2_neutral_angry,1,2,neutral,angry,28,0.875,0.5625,0.75,0.3125,-0.375,-0.1875,-0.125
a02_s1_happy_sad,2,1,happy,sad,0,2.3046875,2.3046875,2.3046875,2.3046875,0.0,0.0,0.0
a02_s1_happy_sad,2,1,happy,sad,1,-0.265625,-0.09375,-0.2265625,-0.046875,0.17578125,0.04296875,0.0078125
a02_s1_happy_sad,2,1,happy,sad,2,-0.59765625,-0.40625,-0.634765625,-0.4453125,0.1904296875,-0.0380859375,-0.001953125
a02_s1_happy_sad,2,1,happy,sad,3,-0.7812509536743164,-0.5234375,-0.75,-0.546875,0.2304692268371582,0.003906726837158203,-0.054688453674316406
a02_s1_happy_sad,2,1,happy,sad,4,-0.75,-0.453125,-0.640625,-0.484375,0.2265625,0.0390625,-0.140625
a02_s1_happy_sad,2,1,happy,sad,5,-1.078125,-0.875,-1.09375,-1.0,0.1484375,-0.0703125,-0.109375
a02_s1_happy_sad,2,1,happy,sad,6,-2.25,-1.96875,-2.1875,-1.90625,0.28125,0.0625,0.0
a02_s1_happy_sad,2,1,happy,sad,7,-1.03125,-0.84375,-1.09375,-0.84375,0.21875,-0.03125,0.0625
a02_s1_happy_sad,2,1,happy,sad,8,-1.78125,-1.5,-1.8125,-1.375,0.359375,0.046875,0.15625
a02_s1_happy_sad,2,1,happy,sad,9,0.25,0.71875,0.390625,0.828125,0.453125,0.125,-0.03125
a02_s1_happy_sad,2,1,happy,sad,10,-1.640625,-1.609375,-1.640625,-1.625,0.0234375,-0.0078125,-0.015625
a02_s1_happy_sad,2,1,happy,sad,11,-1.7499990463256836,-1.359375,-1.9374990463256836,-1.546875,0.3906240463256836,-0.1875,0.0
a02_s1_happy_sad,2,1,happy,sad,12,-2.40625,-2.28125,-2.625,-2.40625,0.171875,-0.171875,0.09375
a02_s1_happy_sad,2,1,happy,sad,13,-2.953125,-2.296875,-3.125,-2.46875,0.65625,-0.171875,0.0
a02_s1_happy_sad,2,1,happy,sad,14,-2.17578125,-1.375,-2.21875,-1.5859375,0.716796875,-0.126953125,-0.16796875
a02_s1_happy_sad,2,1,happy,sad,15,-1.337890625,-0.84375,-1.296875,-0.9531259536743164,0.4189448356628418,-0.0341801643371582,-0.1503915786743164
a02_s1_happy_sad,2,1,happy,sad,16,-2.4609375,-2.58203125,-2.46484375,-2.791015625,-0.2236328125,-0.1064453125,-0.205078125
a02_s1_happy_sad,2,1,happy,sad,17,-1.77734375,-2.42578125,-1.93359375,-2.48046875,-0.59765625,-0.10546875,0.1015625
a02_s1_happy_sad,2,1,happy,sad,18,-2.9453134536743164,-2.7109375,-3.010009765625,-2.921875,0.1612553596496582,-0.1378169059753418,-0.1462411880493164
a02_s1_happy_sad,2,1,happy,sad,19,-1.9609375,-1.416015625,-2.11328125,-1.543212890625,0.5574951171875,-0.1397705078125,0.025146484375
