pair_id,actor,statement,label_a,label_b,AA,AB,BA,BB,ME_C,ME_D,interaction
a07_s2_neutral_sad,7,2,neutral,sad,1.625,0.625,2.0,0.0,-1.5,-0.125,-1.0
a07_s2_neutral_angry,7,2,neutral,angry,1.5,4.125000238418579,2.625000238418579,3.5,1.75,0.25,-1.7500004768371582
a07_s2_happy_sad,7,2,happy,sad,3.8124998956918716,0.9999998807907104,4.187500044703484,0.375,-3.3125000298023224,-0.12499986588954926,-1.0000000298023224
a07_s2_happy_angry,7,2,happy,angry,1.3125,3.5625,1.6875,3.0,1.78125,-0.09375,-0.9375
a07_s2_sad_angry,7,2,sad,angry,0.25,5.187500238418579,0.25,3.5,4.0937501192092896,-0.8437501192092896,-1.687500238418579
a08_s1_neutral_happy,8,1,neutral,happy,-4.374999783933163,0.875,-4.49999987334013,0.25,4.999999828636646,-0.3750000447034836,-0.49999991059303284
a08_s1_neutral_sad,8,1,neutral,sad,-2.250000022351742,3.9375,-2.2499998956918716,3.8125001192092896,6.1250000186264515,-0.06249987706542015,-0.1250000074505806
a08_s1_neutral_angry,8,1,neutral,angry,-4.499999783933163,1.0,-5.249999795109034,2.5625,6.656249789521098,0.40624999441206455,2.312500011175871
a08_s1_happy_sad,8,1,happy,sad,2.999999985098839,0.875,3.3749998956918716,1.1250001192092896,-2.1874998807907104,0.3125000149011612,-0.12499979138374329
a08_s1_happy_angry,8,1,happy,angry,0.375,2.000000238418579,0.875,2.25,1.5000001192092896,0.37499988079071045,-0.2500002384185791
a08_s1_sad_angry,8,1,sad,angry,1.5,-1.874999761581421,2.3750000298023224,-1.125000238418579,-3.437500014901161,0.8124997764825821,-0.1250005066394806
a08_s2_neutral_happy,8,2,neutral,happy,-3.2500001043081284,-2.2500000596046448,-3.625,-1.6250000894069672,1.4999999776482582,0.12500003725290298,0.9999998658895493
a08_s2_neutral_sad,8,2,neutral,sad,-2.7500001043081284,1.125,-3.3750000968575478,2.25,4.750000100582838,0.2500000037252903,1.7499999925494194
a08_s2_neutral_angry,8,2,neutral,angry,-4.125000104308128,2.749999761581421,-4.374999813735485,3.312500238418579,7.281249959021807,0.15625038370490074,0.8125001862645149
a08_s2_happy_sad,8,2,happy,sad,0.25000011920928955,-3.875,0.0,-2.1250001192092896,-3.1250001192092896,0.7499998807907104,2.0
a08_s2_happy_angry,8,2,happy,angry,-1.375,4.6875001192092896,-0.875,5.375000238418579,6.156250178813934,0.5937500596046448,0.18750011920928955
a08_s2_sad_angry,8,2,sad,angry,3.7500001192092896,1.375,4.250000238418579,1.25,-2.6875001788139343,0.18750005960464478,-0.6250001192092896
a09_s1_neutral_happy,9,1,neutral,happy,-0.125,2.374999888241291,1.375,1.3749999552965164,1.2499999217689037,0.2500000335276127,-2.4999999329447746
a09_s1_neutral_sad,9,1,neutral,sad,-1.125,3.0,-1.125,2.625,3.9375,-0.1875,-0.375
a09_s1_neutral_angry,9,1,neutral,angry,1.6249999403953552,7.499999891966581,2.624999910593033,5.625000044703484,4.437500042840838,-0.4374999385327101,-2.8749998174607754
a09_s1_happy_sad,9,1,happy,sad,-5.625000074505806,-0.25,-6.437499813735485,-1.625,5.0937499441206455,-1.0937498696148396,-0.5625002607703209
a09_s1_happy_angry,9,1,happy,angry,-4.812500074505806,5.250000035390258,-4.625,4.375000044703484,9.531250077299774,-0.34374995809048414,-1.0625000651925802
a09_s1_sad_angry,9,1,sad,angry,4.625000026077032,3.499999973922968,3.9999998062849045,3.3750000447034836,-0.8749999068677425,-0.37500007450580597,0.5000002905726433
a09_s2_neutral_happy,9,2,neutral,happy,1.375,-2.249999761581421,0.875,-1.874999761581421,-3.187499761581421,-0.0625,0.875
a09_s2_neutral_sad,9,2,neutral,sad,-1.499999761581421,3.375,-0.625,4.750000476837158,5.1250001192092896,1.1250001192092896,0.5000007152557373
a09_s2_neutral_angry,9,2,neutral,angry,2.625,-0.125,1.1249999403953552,2.000000238418579,-0.9374998509883881,0.31250008940696716,3.625000298023224
a09_s2_happy_sad,9,2,happy,sad,3.374999761581421,-0.375,3.6874998807907104,1.25,-3.0937498211860657,0.9687500596046448,1.3124998807907104
a09_s2_happy_angry,9,2,happy,angry,3.6249998211860657,0.5,3.1874999403953552,2.625000238418579,-1.843749761581421,0.8437501788139343,2.5625001192092896
a09_s2_sad_angry,9,2,sad,angry,4.249999988824129,0.125,4.999999895691872,0.6250002384185791,-4.249999823048711,0.6250000726431608,-0.24999966844916344
a10_s1_neutral_happy,10,1,neutral,happy,-4.7500001192092896,1.500000238418579,-4.375000089406967,0.9375,5.781250223517418,-0.09375010430812836,-0.9375002682209015
a10_s1_neutral_sad,10,1,neutral,sad,-1.25,3.75,-1.125,3.625,4.875,0.0,-0.25
a10_s1_neutral_angry,10,1,neutral,angry,-3.8750001192092896,0.0,-3.1250000596046448,1.5,4.250000089406967,1.1250000298023224,0.7499999403953552
a10_s1_happy_sad,10,1,happy,sad,3.499999910593033,2.0,3.125,2.25,-1.1874999552965164,-0.06249995529651642,0.6249999105930328
a10_s1_happy_angry,10,1,happy,angry,1.8749998807907104,2.9375001192092896,1.625,3.250000238418579,1.343750238418579,0.03125011920928955,0.5625
a10_s1_sad_angry,10,1,sad,angry,2.999999914318323,-2.249999925494194,2.5,-1.1249999403953552,-4.437499890103936,0.31250003539025784,1.624999899417162
a10_s2_neutral_happy,10,2,neutral,happy,-2.0,2.75,-2.5,3.500000238418579,5.3750001192092896,0.12500011920928955,1.250000238418579
a10_s2_neutral_sad,10,2,neutral,sad,0.625,1.375,0.125,2.3749998807907104,1.4999999403953552,0.24999994039535522,1.4999998807907104
a10_s2_neutral_angry,10,2,neutral,angry,-0.625,-0.625,-0.75,0.125,0.4375,0.3125,0.875
a10_s2_happy_sad,10,2,happy,sad,-0.375,1.3750001192092896,-0.75,1.3749998807907104,1.9375,-0.18750011920928955,0.3749997615814209
a10_s2_happy_angry,10,2,happy,angry,-0.375,0.5,0.24999994039535522,1.9999998807907104,1.3124999701976776,1.0624999105930328,0.8749999403953552
a10_s2_sad_angry,10,2,sad,angry,0.75,-0.375,0.875,-0.375,-1.1875,0.0625,-0.125
a11_s1_neutral_happy,11,1,neutral,happy,-2.1250001192092896,-2.1875,-1.9999998807907104,-1.75,0.09375,0.28125011920928955,0.3124997615814209
a11_s1_neutral_sad,11,1,neutral,sad,-1.25,3.250000238418579,-1.2499998807907104,2.75,4.250000059604645,-0.2500000596046448,-0.5000003576278687
a11_s1_neutral_angry,11,1,neutral,angry,-1.375,3.000000476837158,0.0,2.999999523162842,3.6875,0.6874995231628418,-1.3750009536743164
a11_s1_happy_sad,11,1,happy,sad,3.4999999701976776,1.875,3.6249999403953552,2.5,-1.3749999552965164,0.3749999850988388,0.5000000298023224
a11_s1_happy_angry,11,1,happy,angry,2.0,2.625,2.125,3.124999523162842,0.8124997615814209,0.3124997615814209,0.3749995231628418
a11_s1_sad_angry,11,1,sad,angry,2.874999910593033,-1.0,3.250000026077032,-0.3125,-3.7187499683350325,0.5312500577419996,0.31249988451600075
a11_s2_neutral_happy,11,2,neutral,happy,-3.874999985098839,-3.125000089406967,-3.2500001043081284,-3.2499999701976776,0.3750000149011612,0.25,-0.7499997615814209
a11_s2_neutral_sad,11,2,neutral,sad,-2.624999985098839,3.75,-2.750000074505806,3.25,6.187500029802322,-0.3125000447034836,-0.37499991059303284
a11_s2_neutral_angry,11,2,neutral,angry,-3.499999985098839,1.0,-3.2500000298023224,2.625000476837158,5.18750024586916,0.9375002160668373,1.3750005215406418
a11_s2_happy_sad,11,2,happy,sad,2.0,-0.5,1.3749998807907104,-1.25,-2.5624999403953552,-0.6875000596046448,-0.12499988079071045
a11_s2_happy_angry,11,2,happy,angry,0.375,3.625,0.25,4.062500476837158,3.531250238418579,0.1562502384185791,0.5625004768371582
a11_s2_sad_angry,11,2,sad,angry,3.6250000968575478,0.125,4.7500000558793545,1.125,-3.562500076368451,1.0624999795109034,-0.12499995902180672
a12_s1_neutral_happy,12,1,neutral,happy,-4.687500104308128,-0.7499998807907104,-4.874999821186066,-1.0,3.906250022351742,-0.21874991804361343,-0.06250040233135223
a12_s1_neutral_sad,12,1,neutral,sad,-2.6250001043081284,3.8125,-2.8750001192092896,3.937499761581421,6.624999992549419,-0.06250012665987015,0.3749997764825821
a12_s1_neutral_angry,12,1,neutral,angry,-4.125000104308128,1.0,-4.124999970197678,3.250000238418579,6.2500001564621925,1.125000186264515,2.2500001043081284
a12_s1_happy_sad,12,1,happy,sad,3.3749998956918716,2.75,2.4999999701976776,2.999999761581421,-0.06250005215406418,-0.31250008195638657,1.124999687075615
a12_s1_happy_angry,12,1,happy,angry,0.625,3.3125,-0.25,3.437500238418579,3.1875001192092896,-0.37499988079071045,1.000000238418579
a12_s1_sad_angry,12,1,sad,angry,2.500000037252903,0.25,3.8749999962747097,-0.125,-3.1250000167638063,0.49999997951090336,-1.7499999590218067
a12_s2_neutral_happy,12,2,neutral,happy,-3.6249999441206455,0.375,-3.7500000298023224,0.8749999403953552,4.312499957159162,0.18749992735683918,0.6250000260770321
a12_s2_neutral_sad,12,2,neutral,sad,-3.7499999441206455,1.75,-3.125000022351742,1.5,5.062499983236194,0.18749996088445187,-0.8749999217689037
a12_s2_neutral_angry,12,2,neutral,angry,-4.4999999441206455,2.3750001192092896,-4.124999836087227,1.7499998807907104,6.374999890103936,-0.12500006519258022,-1.0000003464519978
a12_s2_happy_sad,12,2,happy,sad,0.125,0.75,1.2499999403953552,-0.75,-0.6874999701976776,-0.1875000298023224,-2.6249999403953552
a12_s2_happy_angry,12,2,happy,angry,-2.1249999403953552,4.8125,-0.375,4.7499998807907104,6.031249910593033,0.8437499105930328,-1.8125000596046448
a12_s2_sad_angry,12,2,sad,angry,4.249999940395355,-0.6249999403953552,2.125000074505806,-0.5,-3.749999977648258,-0.999999962747097,2.2499998062849045
a13_s1_neutral_happy,13,1,neutral,happy,-4.500000163912773,-3.9999997913837433,-3.6250000298023224,-4.749999836087227,-0.3124997168779373,0.06250004470348358,-1.6250001788139343
a13_s1_neutral_sad,13,1,neutral,sad,-2.374999925494194,2.375,-3.125000052154064,1.749999761581421,4.8124998696148396,-0.6875001825392246,0.12499988824129105
a13_s1_neutral_angry,13,1,neutral,angry,-4.250000163912773,0.25,-3.499999925494194,0.5,4.250000044703484,0.5000001192092896,-0.5000002384185791
a13_s1_happy_sad,13,1,happy,sad,1.749999761581421,1.624999761581421,1.374999761581421,2.124999761581421,0.3125,0.0625,0.875
a13_s1_happy_angry,13,1,happy,angry,0.25,1.5625,-0.25,1.9375,1.75,-0.0625,0.875
a13_s1_sad_angry,13,1,sad,angry,2.5,-0.375,1.8749998807907104,0.75,-1.9999999403953552,0.24999994039535522,1.7500001192092896
a13_s2_neutral_happy,13,2,neutral,happy,-3.8750001192092896,-2.6250001043081284,-3.125000074505806,-2.5000001192092896,0.9374999850988388,0.4375000149011612,-0.6250000596046448
a13_s2_neutral_sad,13,2,neutral,sad,-2.6250001192092896,-1.8749999552965164,-2.6249999403953552,-2.0000001043081284,0.6875,-0.062499985098838806,-0.12500032782554626
a13_s2_neutral_angry,13,2,neutral,angry,-4.0000001192092896,1.625,-3.125000074505806,2.0625,5.406250096857548,0.6562500223517418,-0.4375000447034836
a13_s2_happy_sad,13,2,happy,sad,0.375,1.75,0.25,1.625,1.375,-0.125,0.0
a13_s2_happy_angry,13,2,happy,angry,-0.625,3.1875,-0.375,2.6875,3.4375,-0.125,-0.75
a13_s2_sad_angry,13,2,sad,angry,-0.75,1.624999761581421,-1.0,0.875,2.1249998807907104,-0.49999988079071045,-0.4999997615814209
a14_s1_neutral_happy,14,1,neutral,happy,-3.7500000670552254,3.499999761581421,-3.875000037252903,3.6875,7.406249932944775,0.031250134110450745,0.3125002086162567
a14_s1_neutral_sad,14,1,neutral,sad,-3.2500000670552254,4.624999850988388,-2.749999888241291,4.500000178813934,7.562499992549419,0.1875002533197403,-0.6249998509883881
