condition,layer,scope,metric,mean,ci_low,ci_high,n
discrete,22.0,audio_tokens,rescue,-0.3362630319898017,-0.5302734389294831,-0.15104166962870902,192
discrete,22.0,audio_tokens,acoustic_follow,0.5,0.4427083333333333,0.5572916666666666,192
discrete,22.0,audio_tokens,discrete_follow,0.22395833333333334,0.171875,0.2760416666666667,192
discrete,22.0,audio_tokens,other,0.2760416666666667,0.20833333333333334,0.3489583333333333,192
discrete,24.0,audio_tokens,acoustic_margin,0.2685546796419658,0.05988768637956431,0.47819011146493723,192
discrete,24.0,audio_tokens,rescue,-0.8570963649738891,-1.0094401176606576,-0.701163731103831,192
discrete,24.0,audio_tokens,acoustic_follow,0.3697916666666667,0.3177083333333333,0.421875,192
discrete,24.0,audio_tokens,discrete_follow,0.3020833333333333,0.2552083333333333,0.3489583333333333,192
discrete,24.0,audio_tokens,other,0.328125,0.2604166666666667,0.3958333333333333,192
discrete,24.0,full,acoustic_margin,-1.2210286450620818,-1.4912272237555346,-0.9661458346564662,192
discrete,24.0,full,rescue,-2.3466796896779365,-2.882169594471634,-1.8333089280789867,192
discrete,24.0,full,acoustic_follow,0.1875,0.15625,0.21875,192
discrete,24.0,full,discrete_follow,0.4479166666666667,0.40625,0.4947916666666667,192
discrete,24.0,full,other,0.3645833333333333,0.3125,0.4166666666666667,192
discrete,25.0,audio_tokens,acoustic_margin,0.1067708238066795,-0.10939128286554477,0.32486977702646985,192
discrete,25.0,audio_tokens,rescue,-1.0188802208091754,-1.1718750104999345,-0.8525390752887082,192
discrete,25.0,audio_tokens,acoustic_follow,0.34375,0.2916666666666667,0.3958333333333333,192
discrete,25.0,audio_tokens,discrete_follow,0.3229166666666667,0.2760416666666667,0.375,192
discrete,25.0,audio_tokens,other,0.3333333333333333,0.265625,0.40625,192
discrete,25.0,full,acoustic_margin,-1.2210286450620818,-1.4899169800242817,-0.9635416671067408,192
discrete,25.0,full,rescue,-2.3466796896779365,-2.869148767236887,-1.8372233197008125,192
discrete,25.0,full,acoustic_follow,0.1875,0.15625,0.21875,192
discrete,25.0,full,discrete_follow,0.4479166666666667,0.4010416666666667,0.4947916666666667,192
discrete,25.0,full,other,0.3645833333333333,0.3125,0.4166666666666667,192
discrete,25.0,random_positions,acoustic_margin,0.07942708806755643,-0.1464925132381419,0.3050211636330155,192
discrete,25.0,random_positions,rescue,-1.0462239565482985,-1.2057291616426178,-0.8824788187048399,192
discrete,25.0,random_positions,acoustic_follow,0.3489583333333333,0.296875,0.4010416666666667,192
discrete,25.0,random_positions,discrete_follow,0.296875,0.25,0.3489583333333333,192
discrete,25.0,random_positions,other,0.3541666666666667,0.2864583333333333,0.421875,192
discrete,26.0,audio_tokens,acoustic_margin,0.12369791210706656,-0.09114583397119229,0.3453775939924526,192
discrete,26.0,audio_tokens,rescue,-1.0019531325087883,-1.1526692791036717,-0.843424473193348,192
discrete,26.0,audio_tokens,acoustic_follow,0.3489583333333333,0.296875,0.4010416666666667,192
discrete,26.0,audio_tokens,discrete_follow,0.328125,0.28125,0.3802083333333333,192
discrete,26.0,audio_tokens,other,0.3229166666666667,0.2552083333333333,0.390625,192
discrete,26.0,full,acoustic_margin,-1.2210286450620818,-1.482747380436922,-0.9628743484315543,192
discrete,26.0,full,rescue,-2.3466796896779365,-2.889005521248449,-1.8268147808020634,192
discrete,26.0,full,acoustic_follow,0.1875,0.15625,0.21875,192
discrete,26.0,full,discrete_follow,0.4479166666666667,0.4010416666666667,0.4947916666666667,192
discrete,26.0,full,other,0.3645833333333333,0.3125,0.4166666666666667,192
discrete,27.0,audio_tokens,acoustic_margin,1.0348307258100249,0.7737548528583525,1.3092610724537126,192
discrete,27.0,audio_tokens,rescue,-0.09082031880582993,-0.11295574422983919,-0.06803385541716125,192
discrete,27.0,audio_tokens,acoustic_follow,0.4010416666666667,0.34375,0.4583333333333333,192
discrete,27.0,audio_tokens,discrete_follow,0.19270833333333334,0.15625,0.22916666666666666,192
discrete,27.0,audio_tokens,other,0.40625,0.34375,0.46875,192
discrete,27.0,full,acoustic_margin,-1.2210286450620818,-1.4817789724681159,-0.9645100925448788,192
discrete,27.0,full,rescue,-2.3466796896779365,-2.8769775565083058,-1.8398355784199039,192
discrete,27.0,full,acoustic_follow,0.1875,0.15625,0.21875,192
discrete,27.0,full,discrete_follow,0.4479166666666667,0.4010416666666667,0.4947916666666667,192
discrete,27.0,full,other,0.3645833333333333,0.3125,0.4166666666666667,192
no_patch,,none,acoustic_margin,1.1256510446158547,0.8509033213592678,1.404956060745462,192
no_patch,,none,rescue,0.0,0.0,0.0,192
no_patch,,none,acoustic_follow,0.4114583333333333,0.3541666666666667,0.46875,192
no_patch,,none,discrete_follow,0.19270833333333334,0.16145833333333334,0.22395833333333334,192
no_patch,,none,other,0.3958333333333333,0.3333333333333333,0.4583333333333333,192
