layer,metric,mean,ci_low,ci_high
12,interaction,-0.09494831164677937,-0.15679989308118822,-0.029472714165846507
13,ME_C,0.06627798577149709,-0.14259211644530295,0.26772561656932026
13,ME_D,0.08762980004151662,0.03354477422932784,0.13980214794476828
13,interaction,0.027959436178207397,-0.027467365314563112,0.08448321372270584
14,ME_C,-0.10095135122537613,-0.2823586388801535,0.062043353232244594
14,ME_D,0.052372453113396965,0.004631770898898442,0.09936305290708938
14,interaction,0.06704363723595937,0.01033911593258381,0.12568482595185437
15,ME_C,-0.07730356852213542,-0.24306742350260416,0.09904624621073399
15,ME_D,0.0211334228515625,-0.016660062472025554,0.057784398396809857
15,interaction,0.061024983723958336,0.005647389094034832,0.11738664309183755
16,ME_C,-0.2610015844305356,-0.4000200955818097,-0.121246086123089
16,ME_D,0.06135558833678564,0.025745895691215992,0.09900156160195665
16,interaction,-0.020497635006904602,-0.06545028674105803,0.027232106899221734
17,ME_C,-0.3807525585095088,-0.49889220936844747,-0.2607610016440352
17,ME_D,0.0387929230928421,0.008966560537616413,0.07169684612502654
17,interaction,-0.08670044938723247,-0.1316632643342018,-0.0383606151988109
18,ME_C,-0.03157552580038706,-0.15222169229139884,0.08817646807680525
18,ME_D,0.030273422598838806,-0.00032655460139116127,0.06164651984969773
18,interaction,-0.05371097723642985,-0.11507164537906646,0.008789033194382985
19,ME_C,0.12113441278537114,-0.016316739842295647,0.26286108493804927
19,ME_D,0.05358886470397314,0.005207286899288496,0.09944763438155252
19,interaction,0.02189129094282786,-0.05387565990289052,0.09733075909316541
20,ME_C,0.3610433042049408,0.23868815060704945,0.4792541582758227
20,ME_D,0.017130543788274128,-0.03166095502674579,0.06685485132038592
20,interaction,-0.05102543036142985,-0.16325283522407213,0.04516597613692284
21,ME_C,0.5517985063294569,0.3483062771148979,0.7561452156243225
21,ME_D,0.017049162338177364,-0.03674518872673313,0.07483115590487914
21,interaction,0.017822307844956715,-0.09611201776812474,0.12451584413647646
22,ME_C,0.8707682229578495,0.5948079495069881,1.1509663799156744
22,ME_D,0.011555990825096766,-0.04492185786366463,0.07120972300569213
22,interaction,-0.05924483388662338,-0.1917359123627345,0.0693400093664725
23,ME_C,0.534342440466086,0.1059468451111267,0.9680216151755303
23,ME_D,-0.0026041579743226405,-0.08056638482958078,0.07674359607820708
23,interaction,-0.07454419881105423,-0.2293334407111009,0.07666023730610808
24,ME_C,0.8376464910494784,0.33103842900988334,1.3225209775633022
24,ME_D,-0.015869162045419216,-0.09639895355600553,0.05843401331027655
24,interaction,0.07047522130111854,-0.1224792558234185,0.26384477244767657
25,ME_C,3.49072265982007,2.600958253642117,4.345583100559693
25,ME_D,0.010579445709784826,-0.13127846587934375,0.15145060358530218
25,interaction,0.2851562388241291,-0.01921391220336469,0.5880533350961439
26,ME_C,3.2221679693320766,2.3992228350883424,4.005061850247633
26,ME_D,0.053873688952686884,-0.06852622461350014,0.1761108663127136
26,interaction,0.3238932539243251,0.08561210921616294,0.554036499055413
27,ME_C,3.576660183315956,2.7785685205655684,4.369397014530248
27,ME_D,0.12972008055718712,-0.010095210263746898,0.27506920010005154
27,interaction,0.3792318188146358,0.07615571487955701,0.6936849294769065
28,ME_C,2.346028648050075,1.8355794385002808,2.889648409939279
28,ME_D,0.09602864339346222,-0.0231119808320121,0.21386718208304956
28,interaction,0.2871093467207781,0.07161457422480452,0.5071614109940128
