layer,metric,mean,ci_low,ci_high
13,ME_C,0.1707356721162796,0.08601684557894865,0.2596842501312494
13,ME_D,0.028483038147290547,-0.007039427881439527,0.062215154493848485
13,interaction,0.010742197434107462,-0.04012254551053047,0.06364137753844258
14,ME_C,0.18477883438269296,0.10445058283706507,0.27122035920619963
14,ME_D,-0.03472393254439036,-0.07635001751283804,0.008475749070445668
14,interaction,0.029998789230982464,-0.0239289179444313,0.08272359694043795
15,ME_C,0.16500852505366007,0.087970973427097,0.24601312304536502
15,ME_D,-0.10558069745699565,-0.14518285393714905,-0.06627406142652034
15,interaction,0.05914316574732462,0.01009120394786199,0.10799312591552732
16,ME_C,-0.13271526992321014,-0.22125497808059058,-0.037588691090544135
16,ME_D,-0.017573659618695576,-0.06921586294968922,0.030530248706539465
16,interaction,0.028306355079015095,-0.035562835882107416,0.09387373303373654
17,ME_C,0.05497941871484121,-0.026985062907139458,0.14224768665929632
17,ME_D,-0.044022356470425926,-0.09084783680737019,0.0012352337439854736
17,interaction,0.10211705168088277,0.04553203657269478,0.15933864066998157
18,ME_C,0.013621593515078226,-0.08859121066828568,0.1097466836373011
18,ME_D,-0.027249013384183247,-0.07556341327726841,0.020931930219133695
18,interaction,0.017548928658167522,-0.06418213297923406,0.10194868296384807
19,ME_C,-0.028385316332181294,-0.16549887843430042,0.10938302564124264
19,ME_D,-0.0420181006193161,-0.11746966491142909,0.03133059839407603
19,interaction,0.05681895216306051,-0.02067698414127032,0.12983120679855348
20,ME_C,0.28964059551556903,0.16145720519125462,0.4213751429071029
20,ME_D,0.00011363625526428223,-0.0589155662804842,0.05633311917384465
20,interaction,0.035973568757375084,-0.04230995575586955,0.11379891385634738
21,ME_C,0.19034972290198007,0.07072892822325229,0.31477363357941296
21,ME_D,0.009718403220176697,-0.0602372602870067,0.07285799706975617
21,interaction,-0.0038423041502634683,-0.06968863581617672,0.06393225391705819
22,ME_C,0.39465024570624035,0.2839163936674595,0.5039790902286767
22,ME_D,0.01752277712027232,-0.06317180804908275,0.10153398973246415
22,interaction,0.06611489256223042,-0.0418011873960495,0.1788547354439894
23,ME_C,0.581293523311615,0.4528848526378472,0.7095169508208832
23,ME_D,0.06300057967503865,-0.015459109470248217,0.1427588414400815
23,interaction,0.15016096830368042,0.031139436364173895,0.2634569625059763
24,ME_C,0.12038639684518178,-0.039911152670780804,0.3060977667570114
24,ME_D,0.046645134687423706,-0.037827767555912335,0.12717418931424618
24,interaction,0.10246396064758301,-0.0027880236506462033,0.2101428899914026
25,ME_C,0.2087379718820254,0.03921447979907195,0.383720318538447
25,ME_D,0.09261103719472885,-0.0076123868425687115,0.18844971340149638
25,interaction,0.11220241089661916,-0.0074534801145394606,0.21668276501198608
26,ME_C,0.6158721297979355,0.40686665326356886,0.8330885277440151
26,ME_D,0.07605114579200745,-0.04169412000725666,0.19341979889820005
26,interaction,0.035524576902389526,-0.1419153728832801,0.19972519067426514
27,ME_C,0.3023986915747325,0.16282889631887276,0.44126512470344703
27,ME_D,0.025997191667556763,-0.06544311785449584,0.11741526400049526
27,interaction,0.0016682346661885579,-0.14092858806252478,0.14154027141630648
28,ME_C,-0.0196940079331398,-0.09944659735386571,0.05436197922875484
28,ME_D,-0.0174153670668602,-0.06966146836057305,0.03434244307378928
28,interaction,-0.006835957368214925,-0.08593751744677623,0.07096351217478514
