pair_id,actor,statement,label_a,label_b,AA,AB,BA,BB,ME_C,ME_D,interaction
a21_s1_happy_angry,21,1,happy,angry,-1.3125,-0.875,-1.0,-1.0625,0.1875,0.0625,-0.5
a21_s1_sad_angry,21,1,sad,angry,-0.4375,-0.4375,-0.5625,-0.625,-0.03125,-0.15625,-0.0625
a21_s2_neutral_happy,21,2,neutral,happy,0.4375,-0.0625,0.0625,0.5625,0.0,0.125,1.0
a21_s2_neutral_sad,21,2,neutral,sad,-0.125,0.0,-0.3125,-0.125,0.15625,-0.15625,0.0625
a21_s2_neutral_angry,21,2,neutral,angry,-0.3125,0.0,-0.0625,-0.25,0.0625,0.0,-0.5
a21_s2_happy_sad,21,2,happy,sad,-1.25,-0.5625,-1.0625,-0.375,0.6875,0.1875,0.0
a21_s2_happy_angry,21,2,happy,angry,0.125,-0.75,0.4375,-0.125,-0.71875,0.46875,0.3125
a21_s2_sad_angry,21,2,sad,angry,0.25,0.375,0.1875,0.3125,0.125,-0.0625,0.0
a22_s1_neutral_happy,22,1,neutral,happy,-0.125,0.0625,-0.25,0.1875,0.3125,0.0,0.25
a22_s1_neutral_sad,22,1,neutral,sad,-0.8125,-1.125,-0.75,-0.6875,-0.125,0.25,0.375
a22_s1_neutral_angry,22,1,neutral,angry,-1.375,-1.0625,-1.75,-1.1875,0.4375,-0.25,0.25
a22_s1_happy_sad,22,1,happy,sad,-0.875,-0.6875,-0.7812495231628418,-0.625,0.1718747615814209,0.0781252384185791,-0.0312504768371582
a22_s1_happy_angry,22,1,happy,angry,-1.3437504768371582,-0.875,-1.0625,-1.1875,0.1718752384185791,-0.015624761581420898,-0.5937504768371582
a22_s1_sad_angry,22,1,sad,angry,-0.8125,-0.6875,-0.8125,-0.625,0.15625,0.03125,0.0625
a22_s2_neutral_happy,22,2,neutral,happy,0.25,0.1875,0.3125,0.3125,-0.03125,0.09375,0.0625
a22_s2_neutral_sad,22,2,neutral,sad,-0.4375,-0.125,-0.8125,-0.375,0.375,-0.3125,0.125
a22_s2_neutral_angry,22,2,neutral,angry,1.0,-0.25,0.625,-0.375,-1.125,-0.25,0.25
a22_s2_happy_sad,22,2,happy,sad,-0.3125,-0.625,-0.9375,-0.5625,0.03125,-0.28125,0.6875
a22_s2_happy_angry,22,2,happy,angry,0.125,0.0,0.0,-0.3125,-0.21875,-0.21875,-0.1875
a22_s2_sad_angry,22,2,sad,angry,1.125,0.3125,0.75,0.125,-0.71875,-0.28125,0.1875
a23_s1_neutral_happy,23,1,neutral,happy,0.1875,0.0625,0.0625,-0.1875,-0.1875,-0.1875,-0.125
a23_s1_neutral_sad,23,1,neutral,sad,-0.8125,-0.875,-1.0625,-0.5625,0.21875,0.03125,0.5625
a23_s1_neutral_angry,23,1,neutral,angry,-0.8125,-0.5,-0.75,-1.3125,-0.125,-0.375,-0.875
a23_s1_happy_sad,23,1,happy,sad,-0.6875,-0.8125,-0.875,-0.625,0.0625,0.0,0.375
a23_s1_happy_angry,23,1,happy,angry,-1.25,-1.125,-1.5,-1.1875,0.21875,-0.15625,0.1875
a23_s1_sad_angry,23,1,sad,angry,-0.3125,-0.5,-0.375,-0.8125,-0.3125,-0.1875,-0.25
a23_s2_neutral_happy,23,2,neutral,happy,0.625,0.9375,0.6875,0.8125,0.21875,-0.03125,-0.1875
a23_s2_neutral_sad,23,2,neutral,sad,-0.625,-0.5625,-0.4375,-0.1875,0.15625,0.28125,0.1875
a23_s2_neutral_angry,23,2,neutral,angry,0.75,0.5625,0.375,0.375,-0.09375,-0.28125,0.1875
a23_s2_happy_sad,23,2,happy,sad,-0.5625,-1.125,-1.0,-0.8125,-0.1875,-0.0625,0.75
a23_s2_happy_angry,23,2,happy,angry,0.0,-0.3125,-0.3125,-0.3125,-0.15625,-0.15625,0.3125
a23_s2_sad_angry,23,2,sad,angry,1.3125,0.4375,1.25,0.3125,-0.90625,-0.09375,-0.0625
a24_s1_neutral_happy,24,1,neutral,happy,-0.625,-0.5625,-0.4375,-0.1875,0.15625,0.28125,0.1875
a24_s1_neutral_sad,24,1,neutral,sad,-1.625,-0.9375,-1.65625,-0.875,0.734375,0.015625,0.09375
a24_s1_neutral_angry,24,1,neutral,angry,-2.250000476837158,-0.875,-1.71875,-1.3125,0.8906252384185791,0.0468752384185791,-0.9687504768371582
a24_s1_happy_sad,24,1,happy,sad,-0.5,-0.8125,-0.625,-0.5,-0.09375,0.09375,0.4375
a24_s1_happy_angry,24,1,happy,angry,-0.625,-1.250000238418579,-0.9375,-1.0,-0.34375011920928955,-0.03124988079071045,0.5625002384185791
a24_s1_sad_angry,24,1,sad,angry,-0.4375,-0.4375,-0.25,-0.6875,-0.21875,-0.03125,-0.4375
a24_s2_neutral_happy,24,2,neutral,happy,-0.1875,0.625,0.3125,0.5,0.5,0.1875,-0.625
a24_s2_neutral_sad,24,2,neutral,sad,-0.6875,-0.9375,-0.625,-0.125,0.125,0.4375,0.75
a24_s2_neutral_angry,24,2,neutral,angry,0.0625,0.1875,0.0,0.0,0.0625,-0.125,-0.125
a24_s2_happy_sad,24,2,happy,sad,-0.6875,-0.5625,-0.8125,-0.4375,0.25,0.0,0.25
a24_s2_happy_angry,24,2,happy,angry,0.0625,0.125,0.125,-0.0625,-0.0625,-0.0625,-0.25
a24_s2_sad_angry,24,2,sad,angry,0.625,0.5625,0.1875,0.125,-0.0625,-0.4375,0.0
