condition,layer,metric,mean,ci_low,ci_high,n
discrete,18.0,acoustic_margin,1.1038411531189922,0.8388672003716541,1.3834635394926107,192
discrete,18.0,rescue,-0.021809891496862594,-0.06966962891092407,0.02506511558992012,192
discrete,18.0,acoustic_follow,0.4375,0.390625,0.48450520833333144,192
discrete,18.0,discrete_follow,0.203125,0.16666666666666666,0.234375,192
discrete,18.0,other,0.359375,0.3020833333333333,0.4166666666666667,192
discrete,22.0,acoustic_margin,-0.8831380243840007,-1.0589192700916708,-0.6953125044553115,192
discrete,22.0,rescue,-2.0087890689998553,-2.410156260587731,-1.5950520895892017,192
discrete,22.0,acoustic_follow,0.1875,0.13020833333333334,0.24479166666666666,192
discrete,22.0,discrete_follow,0.515625,0.4635416666666667,0.5677083333333334,192
discrete,22.0,other,0.296875,0.234375,0.3645833333333333,192
discrete,24.0,acoustic_margin,-0.347330732717334,-0.5465494805544343,-0.12466633563259782,192
discrete,24.0,rescue,-1.4729817773331888,-1.9143961921926045,-1.0250569448122406,192
discrete,24.0,acoustic_follow,0.2708333333333333,0.22395833333333334,0.3177083333333333,192
discrete,24.0,discrete_follow,0.4010416666666667,0.3489583333333333,0.453125,192
discrete,24.0,other,0.328125,0.2604166666666667,0.4010416666666667,192
discrete,25.0,acoustic_margin,-0.14355467977778366,-0.3496175075464028,0.07942709667355909,192
discrete,25.0,rescue,-1.2692057243936385,-1.7154947643886165,-0.8320149678923677,192
discrete,25.0,acoustic_follow,0.296875,0.25,0.34375,192
discrete,25.0,discrete_follow,0.3697916666666667,0.3125,0.4270833333333333,192
discrete,25.0,other,0.3333333333333333,0.2604166666666667,0.40625,192
discrete,26.0,acoustic_margin,-0.1832682349292251,-0.3945393966457535,0.04297687898457892,192
discrete,26.0,rescue,-1.30891927954508,-1.7548991051504952,-0.862947594382422,192
discrete,26.0,acoustic_follow,0.28125,0.23958333333333334,0.3229166666666667,192
discrete,26.0,discrete_follow,0.3697916666666667,0.3177083333333333,0.4270833333333333,192
discrete,26.0,other,0.3489583333333333,0.28125,0.4166666666666667,192
discrete,27.0,acoustic_margin,-1.1035156399496675,-1.3619873499017556,-0.8528645958159662,192
discrete,27.0,rescue,-2.2291666845655222,-2.7584879662247355,-1.7281901293101933,192
discrete,27.0,acoustic_follow,0.1875,0.15625,0.21875,192
discrete,27.0,discrete_follow,0.453125,0.4114583333333333,0.4947916666666667,192
discrete,27.0,other,0.359375,0.3072916666666667,0.4114583333333333,192
no_patch,,acoustic_margin,1.1256510446158547,0.8479736368880063,1.406250013706449,192
no_patch,,rescue,0.0,0.0,0.0,192
no_patch,,acoustic_follow,0.4114583333333333,0.3541666666666667,0.46875,192
no_patch,,discrete_follow,0.19270833333333334,0.16145833333333334,0.22395833333333334,192
no_patch,,other,0.3958333333333333,0.3333333333333333,0.4635416666666667,192
