method,actor,n_seeds,ser,aligned_ser,conflict_acoustic_follow,conflict_semantic_follow,conflict_margin
decision_adapter_layer25,13,3,0.6597222222222222,0.6666666666666666,0.6527777777777778,0.125,2.5069444444444446
decision_adapter_layer25,14,3,0.8055555555555555,0.7916666666666666,0.8194444444444445,0.027777777777777776,4.078125000000001
decision_adapter_layer25,15,3,0.75,0.75,0.75,0.08333333333333333,3.7656249999999996
decision_adapter_layer25,16,3,0.6527777777777777,0.6666666666666666,0.638888888888889,0.09722222222222221,3.3893229166666665
decision_adapter_layer25,17,3,0.4513888888888889,0.4166666666666667,0.4861111111111111,0.16666666666666666,1.0954861111111112
decision_adapter_layer25,18,3,0.625,0.625,0.625,0.125,2.290798611111111
decision_adapter_layer25,19,3,0.638888888888889,0.5833333333333334,0.6944444444444445,0.125,2.6284722222222223
decision_adapter_layer25,20,3,0.5833333333333334,0.625,0.5416666666666666,0.13888888888888887,2.025173611111111
decision_adapter_layer25,21,3,0.763888888888889,0.75,0.7777777777777777,0.05555555555555555,3.7725694444444446
decision_adapter_layer25,22,3,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.013888888888888888,4.495659722222222
decision_adapter_layer25,23,3,0.9375,0.9583333333333334,0.9166666666666666,0.027777777777777776,3.6432291666666665
decision_adapter_layer25,24,3,0.9930555555555555,1.0,0.9861111111111112,0.013888888888888888,4.457465277777778
full_sequence_adapter_layer22,1,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.09722222222222221,2.9375
full_sequence_adapter_layer22,2,3,0.8680555555555555,0.875,0.8611111111111112,0.041666666666666664,3.8515625
full_sequence_adapter_layer22,3,3,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.013888888888888888,4.5946180555555545
full_sequence_adapter_layer22,4,3,0.6527777777777778,0.6666666666666666,0.6388888888888888,0.1388888888888889,3.0729166666666665
full_sequence_adapter_layer22,5,3,0.7152777777777778,0.7083333333333334,0.7222222222222222,0.09722222222222221,2.9192708333333335
full_sequence_adapter_layer22,6,3,0.7847222222222222,0.7916666666666666,0.7777777777777778,0.08333333333333333,3.9713541666666665
full_sequence_adapter_layer22,7,3,0.5972222222222223,0.5833333333333334,0.611111111111111,0.09722222222222221,2.151909722222222
full_sequence_adapter_layer22,8,3,0.875,0.875,0.875,0.041666666666666664,4.012152777777778
full_sequence_adapter_layer22,9,3,0.6527777777777778,0.6666666666666666,0.6388888888888888,0.125,2.7291666666666665
full_sequence_adapter_layer22,10,3,0.798611111111111,0.7916666666666666,0.8055555555555557,0.09722222222222221,3.1805555555555554
full_sequence_adapter_layer22,11,3,0.7083333333333334,0.6666666666666666,0.75,0.09722222222222221,2.876736111111111
full_sequence_adapter_layer22,12,3,0.875,0.875,0.875,0.027777777777777776,4.248263888888889
full_sequence_adapter_layer22,13,3,0.7013888888888888,0.7083333333333334,0.6944444444444445,0.09722222222222221,2.9574652777777772
full_sequence_adapter_layer22,14,3,0.8472222222222223,0.875,0.8194444444444443,0.013888888888888888,4.770833333333333
full_sequence_adapter_layer22,15,3,0.7430555555555555,0.75,0.7361111111111112,0.08333333333333333,3.859375
full_sequence_adapter_layer22,16,3,0.6875,0.7083333333333334,0.6666666666666666,0.09722222222222221,3.8081597222222228
full_sequence_adapter_layer22,17,3,0.5972222222222222,0.5833333333333334,0.611111111111111,0.125,1.978298611111111
full_sequence_adapter_layer22,18,3,0.625,0.625,0.625,0.125,3.2682291666666665
full_sequence_adapter_layer22,19,3,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.06944444444444443,3.5416666666666665
full_sequence_adapter_layer22,20,3,0.6319444444444444,0.625,0.638888888888889,0.13888888888888887,2.703125
full_sequence_adapter_layer22,21,3,0.8541666666666666,0.875,0.8333333333333334,0.05555555555555555,4.198784722222222
full_sequence_adapter_layer22,22,3,0.8958333333333334,0.875,0.9166666666666666,0.0,4.4678819444444455
full_sequence_adapter_layer22,23,3,0.7291666666666666,0.75,0.7083333333333334,0.1111111111111111,3.087673611111111
full_sequence_adapter_layer22,24,3,0.9722222222222222,1.0,0.9444444444444445,0.013888888888888888,4.604166666666667
ordinary_lora_layer22,1,3,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.09722222222222221,5.005208333333333
ordinary_lora_layer22,2,3,0.875,0.875,0.875,0.041666666666666664,6.514756944444444
ordinary_lora_layer22,3,3,0.9652777777777778,0.9583333333333334,0.9722222222222222,0.013888888888888888,7.166666666666667
ordinary_lora_layer22,4,3,0.6180555555555555,0.6666666666666666,0.5694444444444445,0.13888888888888887,4.842881944444444
ordinary_lora_layer22,5,3,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.1111111111111111,4.264756944444444
ordinary_lora_layer22,6,3,0.8055555555555555,0.8333333333333334,0.7777777777777778,0.09722222222222221,6.046006944444444
ordinary_lora_layer22,7,3,0.6597222222222222,0.625,0.6944444444444445,0.08333333333333333,3.5729166666666665
ordinary_lora_layer22,8,3,0.875,0.875,0.875,0.041666666666666664,5.479166666666667
ordinary_lora_layer22,9,3,0.763888888888889,0.75,0.7777777777777777,0.05555555555555555,5.5321180555555545
ordinary_lora_layer22,10,3,0.8680555555555555,0.875,0.8611111111111112,0.05555555555555555,5.026041666666667
ordinary_lora_layer22,11,3,0.7708333333333334,0.75,0.7916666666666666,0.09722222222222221,5.847222222222222
ordinary_lora_layer22,12,3,0.9375,0.9583333333333334,0.9166666666666666,0.0,7.184027777777779
ordinary_lora_layer22,13,3,0.6597222222222222,0.6666666666666666,0.6527777777777778,0.1111111111111111,3.5164930555555554
ordinary_lora_layer22,14,3,0.75,0.75,0.75,0.05555555555555555,6.103298611111111
ordinary_lora_layer22,15,3,0.7430555555555555,0.75,0.7361111111111112,0.08333333333333333,4.459201388888888
ordinary_lora_layer22,16,3,0.7291666666666666,0.75,0.7083333333333334,0.09722222222222221,5.6710069444444455
ordinary_lora_layer22,17,3,0.4861111111111111,0.4583333333333333,0.513888888888889,0.15277777777777776,2.342013888888889
ordinary_lora_layer22,18,3,0.625,0.625,0.625,0.125,4.671006944444445
ordinary_lora_layer22,19,3,0.7569444444444443,0.75,0.763888888888889,0.09722222222222221,4.861979166666667
ordinary_lora_layer22,20,3,0.6597222222222222,0.6666666666666666,0.6527777777777778,0.1111111111111111,4.167534722222222
ordinary_lora_layer22,21,3,0.8958333333333334,0.875,0.9166666666666666,0.041666666666666664,7.449652777777779
ordinary_lora_layer22,22,3,0.923611111111111,0.875,0.9722222222222223,0.0,7.342013888888889
ordinary_lora_layer22,23,3,0.923611111111111,0.9583333333333334,0.888888888888889,0.041666666666666664,6.09375
ordinary_lora_layer22,24,3,1.0,1.0,1.0,0.0,7.401909722222222
