pair_id,speaker,word,label_a,label_b,file_a,file_b,AA,AB,BA,BB,ME_C,ME_D,interaction
YAF_chat_neutral_sad,YAF,chat,neutral,sad,YAF_chat_neutral.wav,YAF_chat_sad.wav,-0.75,-0.5,-0.8125,-0.6875,0.1875,-0.125,-0.125
YAF_chat_neutral_angry,YAF,chat,neutral,angry,YAF_chat_neutral.wav,YAF_chat_angry.wav,-2.25,-3.25,-1.4375,-1.6875,-0.625,1.1875,0.75
YAF_chat_happy_sad,YAF,chat,happy,sad,YAF_chat_happy.wav,YAF_chat_sad.wav,0.65625,-0.125,0.625,0.125,-0.640625,0.109375,0.28125
YAF_chat_happy_angry,YAF,chat,happy,angry,YAF_chat_happy.wav,YAF_chat_angry.wav,-0.6875,-1.6875,-0.84375,-0.625,-0.390625,0.453125,1.21875
YAF_chat_sad_angry,YAF,chat,sad,angry,YAF_chat_sad.wav,YAF_chat_angry.wav,-1.125,-3.4375,-1.5625,-2.5625,-1.65625,0.21875,1.3125
YAF_check_neutral_happy,YAF,check,neutral,happy,YAF_check_neutral.wav,YAF_check_happy.wav,-0.25,-0.4375,0.0,-0.78125,-0.484375,-0.046875,-0.59375
YAF_check_neutral_sad,YAF,check,neutral,sad,YAF_check_neutral.wav,YAF_check_sad.wav,-0.4375,-0.4375,0.375,-0.6875,-0.53125,0.28125,-1.0625
YAF_check_neutral_angry,YAF,check,neutral,angry,YAF_check_neutral.wav,YAF_check_angry.wav,-1.75,-2.4375,-1.0,-2.0,-0.84375,0.59375,-0.3125
YAF_check_happy_sad,YAF,check,happy,sad,YAF_check_happy.wav,YAF_check_sad.wav,0.59375,0.625,0.3125,0.125,-0.078125,-0.390625,-0.21875
YAF_check_happy_angry,YAF,check,happy,angry,YAF_check_happy.wav,YAF_check_angry.wav,-0.75,-1.28125,-0.375,-2.1875,-1.171875,-0.265625,-1.28125
YAF_check_sad_angry,YAF,check,sad,angry,YAF_check_sad.wav,YAF_check_angry.wav,-1.125,-0.9375,-1.1875,-1.3125,0.03125,-0.21875,-0.3125
YAF_cheek_neutral_happy,YAF,cheek,neutral,happy,YAF_cheek_neutral.wav,YAF_cheek_happy.wav,-0.4375,-0.5625,-0.125,-0.65625,-0.328125,0.109375,-0.40625
YAF_cheek_neutral_sad,YAF,cheek,neutral,sad,YAF_cheek_neutral.wav,YAF_cheek_sad.wav,-0.1875,-0.5,0.1875,-0.375,-0.4375,0.25,-0.25
YAF_cheek_neutral_angry,YAF,cheek,neutral,angry,YAF_cheek_neutral.wav,YAF_cheek_angry.wav,-1.65625,-2.562499523162842,-1.46875,-1.9375004768371582,-0.6875,0.4062495231628418,0.4374990463256836
YAF_cheek_happy_sad,YAF,cheek,happy,sad,YAF_cheek_happy.wav,YAF_cheek_sad.wav,0.53125,0.25,0.1875,-0.0625,-0.265625,-0.328125,0.03125
YAF_cheek_happy_angry,YAF,cheek,happy,angry,YAF_cheek_happy.wav,YAF_cheek_angry.wav,-1.125,-2.75,-1.5624995231628418,-1.7500004768371582,-0.9062504768371582,0.28125,1.4374990463256836
