pair_id,actor,statement,label_a,label_b,layer,AA,AB,BA,BB,ME_C,ME_D,interaction
a01_s2_happy_sad,1,2,happy,sad,28,-0.125,-2.875,1.0,-1.875,-2.8125,1.0625,-0.125
a01_s2_neutral_angry,1,2,neutral,angry,0,0.671875,0.671875,0.671875,0.671875,0.0,0.0,0.0
a01_s2_neutral_angry,1,2,neutral,angry,1,-0.280517578125,-0.4580078125,-0.5576171875,-0.55859375,-0.0892333984375,-0.1888427734375,0.176513671875
a01_s2_neutral_angry,1,2,neutral,angry,2,0.3203125,0.1728515625,0.21875,0.2265625,-0.06982421875,-0.02392578125,0.1552734375
a01_s2_neutral_angry,1,2,neutral,angry,3,0.109375,0.140625,0.0,0.15625,0.09375,-0.046875,0.125
a01_s2_neutral_angry,1,2,neutral,angry,4,0.0625,0.28125,-0.15625,0.25,0.3125,-0.125,0.1875
a01_s2_neutral_angry,1,2,neutral,angry,5,-0.75,-0.6875,-1.03125,-0.875,0.109375,-0.234375,0.09375
a01_s2_neutral_angry,1,2,neutral,angry,6,-1.40625,-1.1875,-1.46875,-1.1875,0.25,-0.03125,0.0625
a01_s2_neutral_angry,1,2,neutral,angry,7,-0.53125,-0.375,-0.34375,-0.21875,0.140625,0.171875,-0.03125
a01_s2_neutral_angry,1,2,neutral,angry,8,-0.203125,-0.23828125,-0.4375,-0.3828125,0.009765625,-0.189453125,0.08984375
a01_s2_neutral_angry,1,2,neutral,angry,9,0.4375,0.66015625,0.296875,0.7265625,0.326171875,-0.037109375,0.20703125
a01_s2_neutral_angry,1,2,neutral,angry,10,1.41015625,1.345703125,1.81640625,1.75,-0.0654296875,0.4052734375,-0.001953125
a01_s2_neutral_angry,1,2,neutral,angry,11,2.6953125,2.7890625,2.9375,2.828125,-0.0078125,0.140625,-0.203125
a01_s2_neutral_angry,1,2,neutral,angry,12,1.84765625,1.55078125,2.1015625,1.4921875,-0.453125,0.09765625,-0.3125
a01_s2_neutral_angry,1,2,neutral,angry,13,1.375,0.712890625,1.7578125,0.857421875,-0.78125,0.263671875,-0.23828125
a01_s2_neutral_angry,1,2,neutral,angry,14,0.625,0.484375,1.046875,0.625,-0.28125,0.28125,-0.28125
a01_s2_neutral_angry,1,2,neutral,angry,15,1.04296875,0.734375,1.34375,0.96875,-0.341796875,0.267578125,-0.06640625
a01_s2_neutral_angry,1,2,neutral,angry,16,0.3203125,-0.5390625,0.53125,-0.3359375,-0.86328125,0.20703125,-0.0078125
a01_s2_neutral_angry,1,2,neutral,angry,17,0.28125,-0.546875,0.390625,-0.484375,-0.8515625,0.0859375,-0.046875
a01_s2_neutral_angry,1,2,neutral,angry,18,-1.015625,-0.796875,-0.890625,-0.953125,0.078125,-0.015625,-0.28125
a01_s2_neutral_angry,1,2,neutral,angry,19,-0.125,-0.421875,-0.375,-0.703125,-0.3125,-0.265625,-0.03125
a01_s2_neutral_angry,1,2,neutral,angry,20,-0.28125,-0.4687495231628418,-0.40625,-0.7499995231628418,-0.2656245231628418,-0.203125,-0.15625
a01_s2_neutral_angry,1,2,neutral,angry,21,-0.78125,-1.578125,-1.09375,-1.4531245231628418,-0.5781247615814209,-0.0937497615814209,0.4375004768371582
a01_s2_neutral_angry,1,2,neutral,angry,22,-1.21875,-2.34375,-2.1875,-3.109375,-1.0234375,-0.8671875,0.203125
a01_s2_neutral_angry,1,2,neutral,angry,23,-3.062500238418579,-3.578125,-3.96875,-4.265625,-0.40624988079071045,-0.7968748807907104,0.2187497615814209
a01_s2_neutral_angry,1,2,neutral,angry,24,-5.6250001192092896,-4.640625,-6.4375001192092896,-5.3203125,1.0507813692092896,-0.74609375,0.1328125
a01_s2_neutral_angry,1,2,neutral,angry,25,-8.249999642372131,-1.75,-10.062500417232513,-1.40625,7.578125029802322,-0.734375387430191,2.156250774860382
a01_s2_neutral_angry,1,2,neutral,angry,26,-6.312500059604645,1.0,-7.687499642372131,1.9375,8.468749850988388,-0.2187497913837433,2.3124995827674866
a01_s2_neutral_angry,1,2,neutral,angry,27,-7.68750007590279,0.25,-9.062500338535756,0.9375,8.968750207219273,-0.343750131316483,2.062500262632966
a01_s2_neutral_angry,1,2,neutral,angry,28,-3.8750000819563866,0.6250002384185791,-4.374999865889549,1.000000238418579,4.937500212341547,-0.062499891966581345,0.8749997839331627
a02_s1_happy_sad,2,1,happy,sad,0,2.0703125,2.0703125,2.0703125,2.0703125,0.0,0.0,0.0
a02_s1_happy_sad,2,1,happy,sad,1,-0.544921875,-0.345703125,-0.4697265625,-0.244140625,0.21240234375,0.08837890625,0.0263671875
a02_s1_happy_sad,2,1,happy,sad,2,-1.44921875,-1.203125,-1.4375,-1.181640625,0.2509765625,0.0166015625,0.009765625
a02_s1_happy_sad,2,1,happy,sad,3,-1.875,-1.55859375,-1.8359384536743164,-1.5195302963256836,0.3164072036743164,0.0390625,1.9073486328125e-06
a02_s1_happy_sad,2,1,happy,sad,4,-2.875,-1.96875,-2.8046875,-1.890625,0.91015625,0.07421875,0.0078125
a02_s1_happy_sad,2,1,happy,sad,5,-2.328125,-1.65625,-2.21875,-1.609375,0.640625,0.078125,-0.0625
a02_s1_happy_sad,2,1,happy,sad,6,-1.96875,-1.3125,-1.875,-1.265625,0.6328125,0.0703125,-0.046875
a02_s1_happy_sad,2,1,happy,sad,7,-1.078125,-0.40625,-1.09375,-0.453125,0.65625,-0.03125,-0.03125
a02_s1_happy_sad,2,1,happy,sad,8,-1.033203125,-0.6708974838256836,-0.923828125,-0.712890625,0.2866215705871582,0.0336909294128418,-0.1513681411743164
a02_s1_happy_sad,2,1,happy,sad,9,1.583984375,2.5546875,1.755859375,2.48046875,0.84765625,0.048828125,-0.24609375
a02_s1_happy_sad,2,1,happy,sad,10,-2.3203125,-1.2734375,-2.2226552963256836,-1.375,0.9472651481628418,-0.0019526481628417969,-0.1992197036743164
a02_s1_happy_sad,2,1,happy,sad,11,-1.91796875,-1.0546875,-1.8984375,-0.94921875,0.90625,0.0625,0.0859375
a02_s1_happy_sad,2,1,happy,sad,12,-2.734375,-1.6835927963256836,-2.7734375,-1.62109375,1.1015629768371582,0.011718273162841797,0.1015615463256836
a02_s1_happy_sad,2,1,happy,sad,13,0.0546875,1.46875,-0.09375,1.4609375,1.484375,-0.078125,0.140625
a02_s1_happy_sad,2,1,happy,sad,14,-0.765625,0.109375,-0.8671875,0.203125,0.97265625,-0.00390625,0.1953125
a02_s1_happy_sad,2,1,happy,sad,15,0.75,0.40625,0.78125,0.65625,-0.234375,0.140625,0.21875
a02_s1_happy_sad,2,1,happy,sad,16,-0.546875,-0.546875,-0.4375,-0.34375,0.046875,0.15625,0.09375
a02_s1_happy_sad,2,1,happy,sad,17,-0.765625,-0.734375,-0.640625,-0.796875,-0.0625,0.03125,-0.1875
a02_s1_happy_sad,2,1,happy,sad,18,-0.71875,-0.28125,-0.40625,-0.25,0.296875,0.171875,-0.28125
a02_s1_happy_sad,2,1,happy,sad,19,-0.59375,-0.578125,0.1875,-0.625,-0.3984375,0.3671875,-0.828125
