system,seed,conflict,generator,metric,mean,ci_low,ci_high,n
decision_adapter_layer25,20260905,False,F5TTS,semantic_follow,0.8653846153846154,0.8,0.9363636363636364,104
decision_adapter_layer25,20260905,False,F5TTS,other,0.1346153846153846,0.06363636363636363,0.2,104
decision_adapter_layer25,20260905,False,F5TTS,acoustic_margin,0.0,0.0,0.0,104
decision_adapter_layer25,20260905,False,STYLE,acoustic_correct,0.8076923076923077,0.7307692307692307,0.8853022540983598,104
decision_adapter_layer25,20260905,False,STYLE,semantic_follow,0.8076923076923077,0.7307692307692307,0.8853022540983598,104
decision_adapter_layer25,20260905,False,STYLE,other,0.19230769230769232,0.11469774590163939,0.2692307692307692,104
decision_adapter_layer25,20260905,False,STYLE,acoustic_margin,0.0,0.0,0.0,104
decision_adapter_layer25,20260905,True,COSY,acoustic_correct,0.4775641025641026,0.4166666666666667,0.5316091954022989,312
decision_adapter_layer25,20260905,True,COSY,semantic_follow,0.28846153846153844,0.2369655402131783,0.35660299003322243,312
decision_adapter_layer25,20260905,True,COSY,other,0.23397435897435898,0.1870748299319728,0.2696969696969697,312
decision_adapter_layer25,20260905,True,COSY,acoustic_margin,0.9074519179516639,0.4292635587725406,1.270078416641861,312
decision_adapter_layer25,20260905,True,F5TTS,acoustic_correct,0.3974358974358974,0.3279569892473118,0.44871794871794873,312
decision_adapter_layer25,20260905,True,F5TTS,semantic_follow,0.47115384615384615,0.4018218055243656,0.5677163052721088,312
decision_adapter_layer25,20260905,True,F5TTS,other,0.13141025641025642,0.08914728682170543,0.1696969696969697,312
decision_adapter_layer25,20260905,True,F5TTS,acoustic_margin,-0.3834134503058755,-0.9586042130707727,0.04866827743390977,312
decision_adapter_layer25,20260905,True,STYLE,acoustic_correct,0.5576923076923077,0.5192307692307693,0.5948275862068966,312
decision_adapter_layer25,20260905,True,STYLE,semantic_follow,0.3108974358974359,0.2753623188405797,0.35658914728682173,312
