fold,method,seed,best_epoch,seconds,n,ser,aligned_ser,conflict_acoustic_follow,conflict_semantic_follow,conflict_margin
1,full_sequence_adapter_layer22,20260905,3,148.49904608726501,192,0.78125,0.78125,0.78125,0.07291666666666667,3.7962239583333335
2,full_sequence_adapter_layer22,20260903,4,145.75236988067627,192,0.75,0.75,0.75,0.0625,3.1868489583333335
2,full_sequence_adapter_layer22,20260904,3,143.95073986053467,192,0.7864583333333334,0.78125,0.7916666666666666,0.07291666666666667,3.60546875
2,full_sequence_adapter_layer22,20260905,1,146.72279477119446,192,0.6927083333333334,0.6875,0.6979166666666666,0.10416666666666667,2.9986979166666665
3,full_sequence_adapter_layer22,20260903,3,147.327983379364,192,0.78125,0.78125,0.78125,0.07291666666666667,3.1536458333333335
3,full_sequence_adapter_layer22,20260904,4,152.8711040019989,192,0.7864583333333334,0.78125,0.7916666666666666,0.08333333333333333,3.37890625
3,full_sequence_adapter_layer22,20260905,2,146.22383999824524,192,0.7083333333333334,0.6875,0.7291666666666666,0.10416666666666667,3.2434895833333335
4,full_sequence_adapter_layer22,20260903,4,145.9197177886963,192,0.703125,0.71875,0.6875,0.07291666666666667,3.5774739583333335
4,full_sequence_adapter_layer22,20260904,4,145.6506154537201,192,0.7708333333333334,0.78125,0.7604166666666666,0.07291666666666667,4.19140625
4,full_sequence_adapter_layer22,20260905,1,145.4145004749298,192,0.7604166666666666,0.78125,0.7395833333333334,0.07291666666666667,3.7779947916666665
5,full_sequence_adapter_layer22,20260903,2,154.13374018669128,192,0.5989583333333334,0.59375,0.6041666666666666,0.125,2.3072916666666665
5,full_sequence_adapter_layer22,20260904,1,148.11041593551636,192,0.734375,0.71875,0.75,0.09375,3.0540364583333335
5,full_sequence_adapter_layer22,20260905,4,147.77113223075867,192,0.6822916666666666,0.6875,0.6770833333333334,0.125,3.2571614583333335
6,full_sequence_adapter_layer22,20260903,2,148.0700933933258,192,0.9010416666666666,0.9375,0.8645833333333334,0.041666666666666664,3.908203125
6,full_sequence_adapter_layer22,20260904,2,150.7634687423706,192,0.8385416666666666,0.84375,0.8333333333333334,0.052083333333333336,3.9680989583333335
6,full_sequence_adapter_layer22,20260905,3,158.58979654312134,192,0.8489583333333334,0.84375,0.8541666666666666,0.041666666666666664,4.392578125
1,ordinary_lora_layer22,20260903,3,145.52662682533264,192,0.796875,0.8125,0.78125,0.07291666666666667,6.505859375
1,ordinary_lora_layer22,20260904,4,145.84021067619324,192,0.8229166666666666,0.84375,0.8020833333333334,0.0625,6.490234375
1,ordinary_lora_layer22,20260905,1,147.28505516052246,192,0.7552083333333334,0.75,0.7604166666666666,0.08333333333333333,4.651041666666667
2,ordinary_lora_layer22,20260903,2,146.66799664497375,192,0.7708333333333334,0.78125,0.7604166666666666,0.09375,4.680338541666667
2,ordinary_lora_layer22,20260904,2,145.93348217010498,192,0.78125,0.78125,0.78125,0.0625,4.784505208333333
2,ordinary_lora_layer22,20260905,3,145.61501455307007,192,0.734375,0.71875,0.75,0.09375,5.057291666666667
3,ordinary_lora_layer22,20260903,3,147.335595369339,192,0.9010416666666666,0.875,0.9270833333333334,0.020833333333333332,5.880208333333333
3,ordinary_lora_layer22,20260904,4,144.57021808624268,192,0.8020833333333334,0.8125,0.7916666666666666,0.07291666666666667,5.890625
3,ordinary_lora_layer22,20260905,4,142.24890518188477,192,0.8020833333333334,0.8125,0.7916666666666666,0.0625,5.921223958333333
4,ordinary_lora_layer22,20260903,2,154.47752976417542,192,0.7447916666666666,0.75,0.7395833333333334,0.07291666666666667,5.587890625
4,ordinary_lora_layer22,20260904,3,147.39823651313782,192,0.75,0.75,0.75,0.07291666666666667,5.521484375
4,ordinary_lora_layer22,20260905,1,146.7448592185974,192,0.6666666666666666,0.6875,0.6458333333333334,0.11458333333333333,3.703125
5,ordinary_lora_layer22,20260903,1,143.98440146446228,192,0.6510416666666666,0.65625,0.6458333333333334,0.11458333333333333,4.251953125
5,ordinary_lora_layer22,20260904,1,147.2105736732483,192,0.6458333333333334,0.65625,0.6354166666666666,0.125,3.5924479166666665
5,ordinary_lora_layer22,20260905,3,149.1926348209381,192,0.5989583333333334,0.5625,0.6354166666666666,0.125,4.1875
6,ordinary_lora_layer22,20260903,4,156.0833044052124,192,0.9322916666666666,0.90625,0.9583333333333334,0.010416666666666666,7.065104166666667
6,ordinary_lora_layer22,20260904,3,148.3709614276886,192,0.953125,0.96875,0.9375,0.03125,6.839192708333333
6,ordinary_lora_layer22,20260905,4,143.43752455711365,192,0.921875,0.90625,0.9375,0.020833333333333332,7.311197916666667
